content_id,source_id,source_type,food_id,orig_content,orig_unit,food_name,food_group,food_subgroup,source_name,score,nutri_score,nutri_score_category
24305,4,Nutrient,653,20.9,g/100g,Toffee,Confectioneries,Other confectioneries,Fatty acids,10,27,E
24307,4,Nutrient,654,10.5,g/100g,Cake,Confectioneries,Desserts,Fatty acids,10,24,E
24359,4,Nutrient,655,6.1,g/100g,Pizza,Dishes,Other dishes,Fatty acids,6,7,C
24426,4,Nutrient,656,3.5,g/100g,Ymer,Milk and milk products,Fermented milk products,Fatty acids,,-3,A
24428,4,Nutrient,657,25.7,g/100g,Other snack food,Snack foods,Snack foods,Fatty acids,10,27,E
24484,4,Nutrient,659,2.2,g/100g,Crisp bread,Cereals and cereal products,Flat breads,Fatty acids,2,10,C
24490,4,Nutrient,660,13.7,g/100g,Pastry,Confectioneries,Desserts,Fatty acids,10,21,E
24619,4,Nutrient,661,17.2,g/100g,Dragée,Confectioneries,Candies,Fatty acids,,-3,A
24623,4,Nutrient,662,0.3,g/100g,Chewing gum,Confectioneries,Candies,Fatty acids,0,13,D
24625,4,Nutrient,663,26.5,g/100g,Marzipan,Confectioneries,Other confectioneries,Fatty acids,10,16,D
24627,4,Nutrient,664,80,g/100g,Salad dressing,Baking goods,Dressings,Fatty acids,10,22,E
24709,4,Nutrient,665,56,g/100g,Sauce,Baking goods,Sauces,Fatty acids,10,21,E
24788,4,Nutrient,667,81.4,g/100g,Butter,Milk and milk products,Other milk products,Fatty acids,,4,C
24795,4,Nutrient,668,1,g/100g,Butter substitute,Baking goods,Substitutes,Fatty acids,,9,C
24796,4,Nutrient,669,13.5,g/100g,Cream,Milk and milk products,Other milk products,Fatty acids,10,10,C
24825,4,Nutrient,670,0.2,g/100g,Sugar,Baking goods,Sugars,Fatty acids,,0,B
24827,4,Nutrient,671,20.8,g/100g,Sausage,Dishes,Ground meat,Fatty acids,10,9,C
24983,4,Nutrient,672,9.6,g/100g,Meatball,Dishes,Ground meat,Fatty acids,,1,B
24985,4,Nutrient,673,3.1,g/100g,Mustard,Baking goods,Condiments,Fatty acids,3,11,D
24988,4,Nutrient,674,21.7,g/100g,Pate,Dishes,Ground meat,Fatty acids,10,18,D
25004,4,Nutrient,677,3.2,g/100g,Meat bouillon,Baking goods,Baking goods,Fatty acids,,5,C
25013,4,Nutrient,679,27,g/100g,Whey,Milk and milk products,Other milk products,Fatty acids,,0,B
